,Age,Gender,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel,Location_Europe,Location_Other,Location_USA,Genre_RPG,Genre_Simulation,Genre_Sports,Genre_Strategy
0,43,0,16.271118760553215,0,2,6,108,79,25,2,False,True,False,False,False,False,True
1,29,1,5.525961380570566,0,2,5,144,11,10,2,False,False,True,False,False,False,True
2,22,1,8.223755243499511,0,1,16,142,35,41,3,False,False,True,False,False,True,False
3,35,0,5.265351277318268,1,1,9,85,57,47,2,False,False,True,False,False,False,False
4,33,0,15.53194452113429,0,2,2,131,95,37,2,True,False,False,False,False,False,False
5,37,0,20.561855414112554,0,1,2,81,74,22,1,True,False,False,True,False,False,False
6,25,0,9.752716365932256,0,3,1,50,13,2,1,False,False,True,False,False,False,False
7,25,1,4.401729344841462,0,2,10,48,27,23,2,False,False,False,True,False,False,False
8,38,1,18.15273259575482,0,1,5,101,23,41,2,True,False,False,False,True,False,False
9,38,1,23.942771725289525,0,1,13,95,99,36,3,False,True,False,False,False,True,False
10,17,0,4.829915833543258,0,3,8,95,14,12,3,False,False,True,False,False,False,True
11,36,1,5.53598092541321,1,1,16,124,62,31,3,False,False,False,False,True,False,False
12,16,0,18.776233805679176,1,1,9,18,52,32,3,False,False,True,False,False,True,False
13,38,1,8.701959180591404,0,1,0,156,33,47,1,False,False,True,False,False,False,True
14,44,0,17.975200475946355,0,1,8,41,98,1,1,False,False,True,False,True,False,False
15,16,0,7.951511339057053,0,2,10,156,58,24,3,True,False,False,True,False,False,False
16,35,0,17.88789845694821,0,1,16,154,62,4,3,False,False,False,False,False,False,True
17,47,0,17.272112901806345,0,2,2,131,13,9,1,False,False,True,True,False,False,False
18,26,1,19.416078735805648,0,1,3,135,77,25,2,False,False,False,False,False,False,False
19,36,1,19.3388255215677,0,1,4,56,21,30,1,False,False,False,True,False,False,False
20,39,1,1.7225809816138815,0,1,2,177,34,37,2,False,False,True,False,False,True,False
21,41,1,16.16768979311812,0,1,18,159,36,33,3,False,False,True,False,False,True,False
22,42,0,10.44812618560384,0,2,2,120,81,5,1,False,False,True,False,False,True,False
23,30,0,17.959834855223,0,1,14,117,40,19,3,True,False,False,False,False,False,True
24,29,0,22.56472310015379,0,2,12,161,1,22,3,True,False,False,False,False,True,False
25,17,1,10.311459919262395,0,3,4,82,1,7,2,False,False,True,False,False,True,False
26,21,0,4.898342485762538,0,2,12,118,71,26,3,False,False,True,False,False,False,True
27,35,0,14.5944246415276,0,1,18,177,59,18,3,False,False,True,False,False,True,False
28,23,0,3.2183650776686212,0,1,14,57,2,1,2,True,False,False,False,True,False,False
29,32,1,4.128575768252703,0,1,1,155,85,37,1,False,False,True,False,False,True,False
30,18,1,22.85867253938618,0,1,3,67,35,2,1,False,False,False,False,True,False,False
31,39,0,3.374945771843211,1,1,5,70,50,11,2,False,False,True,False,False,True,False
32,28,1,14.527638765802958,0,3,0,127,48,48,1,True,False,False,False,False,False,False
33,23,0,18.964324125931693,0,3,19,48,62,42,2,False,False,True,False,True,False,False
34,40,0,11.72896470228836,0,3,0,120,24,18,1,False,False,True,False,False,False,True
35,16,1,17.491258097283612,0,2,18,166,24,17,3,False,False,True,True,False,False,False
36,34,0,13.776451193864396,0,3,19,28,79,41,2,True,False,False,False,False,False,False
37,42,0,23.958349383365025,0,2,17,61,26,26,2,False,False,True,False,False,False,True
38,21,1,1.9080071501124571,0,2,11,112,14,0,2,True,False,False,False,False,False,False
39,22,1,5.5601059679590294,0,3,3,116,52,44,2,True,False,False,False,False,True,False
40,49,1,13.714087008439236,1,2,15,43,93,29,2,True,False,False,False,False,False,True
41,28,0,12.283925798967,0,2,4,151,76,35,2,False,True,False,True,False,False,False
42,31,0,2.244646562637268,0,2,15,68,88,39,2,False,False,True,False,False,False,False
43,18,0,13.153809578502678,0,2,12,115,98,7,2,False,True,False,True,False,False,False
44,16,1,2.61963355317819,0,1,14,149,10,34,3,True,False,False,False,False,False,False
45,20,0,16.58532904749496,0,2,19,65,34,46,2,False,False,False,True,False,False,False
46,18,0,15.65317440909562,0,1,17,176,45,43,3,False,False,True,True,False,False,False
47,43,0,1.5959787198659905,0,2,3,31,73,49,1,False,False,True,False,False,False,True
48,32,1,11.198056677031936,0,1,19,77,51,38,3,False,False,True,False,False,True,False
49,40,0,17.06770113669252,0,3,8,94,31,13,2,True,False,False,False,False,True,False
50,48,0,19.216494885917577,0,3,3,146,22,32,2,False,True,False,True,False,False,False
51,24,0,0.8741881074057289,0,2,8,45,19,21,3,False,False,True,False,False,True,False
52,28,0,11.216713856822746,0,1,8,134,64,25,2,True,False,False,False,True,False,False
53,45,0,23.70289731941193,1,1,1,50,95,26,1,True,False,False,False,True,False,False
54,29,0,9.210122598314191,1,1,15,171,6,16,3,True,False,False,True,False,False,False
55,22,1,12.818930926253454,1,1,8,46,8,0,2,False,False,True,True,False,False,False
56,28,0,7.181065650658029,0,1,8,139,20,1,2,False,False,True,False,True,False,False
57,37,0,1.3216351452681234,1,1,15,36,88,36,2,False,False,True,False,True,False,False
58,35,0,21.686274632514692,0,1,15,148,73,43,3,False,False,True,False,True,False,False
59,30,1,15.154138638867636,0,1,9,153,46,19,2,False,False,True,False,False,False,True
60,32,0,12.55512156935372,0,3,11,138,27,13,3,False,False,True,False,False,False,False
61,38,1,19.463563663701805,0,2,19,155,35,30,3,False,False,True,False,False,False,True
62,40,1,3.5296239780154055,0,1,2,94,76,42,2,True,False,False,False,True,False,False
63,39,0,20.855935292615897,0,3,16,140,10,16,3,False,True,False,False,False,False,False
64,43,0,14.627357000797517,0,1,1,16,38,43,1,False,True,False,False,False,True,False
65,29,1,17.00264693146226,1,1,16,135,80,43,3,False,False,True,False,True,False,False
66,15,1,14.896177519430692,0,1,6,49,58,42,2,False,False,True,False,True,False,False
67,39,1,19.752971845981367,0,2,7,46,26,47,2,False,True,False,False,False,True,False
68,21,1,19.025309404996168,0,1,13,30,3,40,2,True,False,False,False,False,False,False
69,23,0,13.724648498671089,1,2,17,167,72,24,3,False,True,False,False,True,False,False
70,38,1,20.16071100731581,0,1,13,79,29,32,2,True,False,False,False,False,False,False
71,15,0,18.85035866001133,0,2,7,111,45,2,2,False,False,False,False,False,False,True
72,22,0,12.082181787612544,1,1,7,79,46,32,2,True,False,False,True,False,False,False
73,38,1,2.2623788685222417,0,2,12,131,12,37,3,True,False,False,False,False,False,True
74,25,0,20.812949081354795,1,1,19,109,91,48,3,True,False,False,True,False,False,False
75,31,0,9.00911457935074,0,1,14,106,23,1,3,False,False,True,False,True,False,False
76,22,0,19.663555948593377,1,2,3,29,9,30,1,False,False,False,False,False,False,True
77,49,0,18.53536572246272,1,1,0,83,15,4,1,False,False,True,False,False,False,True
78,49,1,2.040757120839902,1,1,12,70,33,33,2,False,False,True,False,False,True,False
79,47,0,6.534987238893371,0,1,10,14,15,25,1,False,False,False,True,False,False,False
80,19,1,19.8608123586172,1,1,1,139,24,0,1,True,False,False,True,False,False,False
81,42,0,13.981026479981786,0,2,12,34,14,15,2,False,False,True,False,True,False,False
