Age,Gender,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,Location_Europe,Location_Other,Location_USA,Genre_RPG,Genre_Simulation,Genre_Sports,Genre_Strategy
28,0,7.090467767697288,0,2,1,115,10,37,True,False,False,False,False,False,True
42,0,8.06978943005889,1,3,0,15,86,17,False,False,False,False,True,False,False
47,0,15.706925525012462,1,1,4,22,49,24,True,False,False,False,False,False,False
44,0,23.975641660475738,1,1,11,165,92,12,False,False,True,False,True,False,False
30,0,5.591038518151104,0,1,10,93,12,41,False,False,True,True,False,False,False
31,1,14.827993787982107,0,2,2,146,71,3,False,False,True,False,False,False,True
49,0,14.74466107024014,0,3,18,167,97,20,False,False,True,True,False,False,False
27,0,3.2441517930421675,0,1,12,98,70,41,False,True,False,False,False,False,False
20,0,2.3822535304659347,0,3,10,37,78,20,True,False,False,False,False,True,False
26,1,17.463366158841517,0,2,6,29,6,38,False,False,True,False,False,False,False
19,0,14.222588116583868,0,1,16,150,72,3,False,False,True,False,False,False,True
28,0,2.447733874941676,0,1,19,118,20,49,False,False,True,False,False,True,False
47,0,20.45707665859274,0,3,7,58,21,17,False,True,False,False,False,False,True
48,0,16.38021742004383,1,1,14,79,59,5,True,False,False,True,False,False,False
38,0,14.123892182267358,0,3,14,38,11,10,False,False,True,False,True,False,False
23,1,0.7620296534183408,0,1,4,70,42,40,True,False,False,True,False,False,False
49,0,18.799597642084553,0,1,11,27,4,41,False,True,False,False,False,False,True
21,1,9.9985619870929,0,2,7,146,19,30,False,False,True,False,False,False,False
43,0,22.71945790972499,0,1,0,107,52,31,True,False,False,False,False,False,False
36,1,20.640839265837204,0,1,7,21,4,34,True,False,False,False,True,False,False
19,1,15.377172223047586,0,3,14,93,65,42,False,False,True,False,False,True,False
29,0,18.995296010445657,0,1,19,24,79,2,False,True,False,False,False,False,False
41,0,13.346285329764047,0,1,2,94,38,8,True,False,False,True,False,False,False
41,0,4.240833731334192,0,2,13,104,77,44,False,False,True,True,False,False,False
19,0,10.4985584150302,0,1,5,71,15,9,False,False,True,False,False,True,False
35,0,2.5189176699651528,0,3,13,144,38,6,True,False,False,False,False,False,True
20,0,8.537112708444997,0,3,19,153,71,25,True,False,False,True,False,False,False
42,0,23.577104901323104,0,3,10,146,59,33,False,False,True,False,False,False,False
27,0,8.886872038321965,0,2,2,118,52,13,False,True,False,False,False,False,False
43,0,2.495575600518996,0,2,17,15,98,11,False,False,True,False,False,False,True
